Sample,UCG-002,DTU089,Candidatus_Soleaferrea,Roseburia,Negativibacillus,Agathobacter, Butyricimonas, Lachnospiraceae_FCS020_group, Asteroleplasma, Lachnospiraceae_ND3007_group,Eubacterium_ventriosum_group,Ruminococcus_torques_group,Herbinix,Collinsella,Moryella,UCG-005,Lachnospiraceae_UCG-004,Monoglobus,Bifidobacterium,Sutterella
PYM410,6.28184775789072,-0.98222099379503,1.71309588003963,7.28888998202289,2.76564958245418,5.90453868976022,3.73163934886712,-0.98222099379503,-0.98222099379503,3.62268094298642,3.41911260662148,5.10073588084459,-0.98222099379503,3.41911260662148,-0.98222099379503,4.98977861216728,6.32289959967671,4.16134680344569,5.18141076404071,4.16134680344569
PYM413,7.06577888916417,2.40046105295585,1.35583036136863,7.03981027476701,3.71481590649877,6.60878616522723,4.49601718102656,2.81821212465136,3.58483014153543,3.50218604182658,3.82983251402555,5.50617110069577,-1.18468600011105,4.11195866444051,-1.18468600011105,6.3531738454268,4.91355985901283,4.63011860512618,6.37044910083258,2.18422672518224
PYM414,6.5011395549508,-1.20351415252946,2.28540348207013,7.01288529057563,5.20048897664873,6.47096661554822,4.52102827536963,2.28540348207013,-1.20351415252946,3.54826577028652,3.28427250368474,5.6566403912798,-1.20351415252946,4.78570331913016,2.60230806895194,5.1117894031431,4.55242570174349,4.02555063305428,6.00914992619744,-1.20351415252946
PYM502,7.36586852738665,-1.30861500827187,-1.30861500827187,6.54208359450912,3.89290634072174,5.84307789013887,3.5858938531207,2.53530928330589,0.752695900132279,4.06587391940535,2.67227478631211,4.57059201265224,-1.30861500827187,4.70776235528218,2.37656136743805,6.68376664438589,4.56417916733565,4.63255528544443,5.59428648601017,2.90020636550064
PYM504,6.6491688214034,-1.1523357729264,0.941543585250708,6.84746846914428,3.15893997802655,6.15941926730569,4.23780587633582,-1.1523357729264,1.57110739443991,2.8651027165283,2.90691209081248,4.2801754173926,1.19793924255131,4.55894653631234,3.92241045969215,5.6341535200207,4.55894653631234,4.11108570167953,5.82826783730329,2.05532275416626
PYM506,5.38380410709024,-1.38987595853314,-1.38987595853314,5.71270911564866,1.87695685418388,4.95335947004637,2.94982253089535,-1.38987595853314,3.95309034435915,1.74885739491381,3.10210855054571,2.86399594807322,2.26963151502858,1.87695685418388,-1.38987595853314,4.84201449962991,3.2342391627327,4.16922140611635,5.18937794730775,2.26963151502858
PYM507,6.43139082742323,1.63828954784598,-1.80247591842805,5.43902754323184,1.93986372651543,5.01706491412549,4.18707128754171,-1.80247591842805,7.30201392473454,1.93986372651543,3.37238574910443,2.55295413809252,2.0622349059254,2.35903059155922,1.72262734147094,5.40297779705304,3.25724841159897,4.13046472582728,4.71057286618212,-1.80247591842805
PYM508,6.13131748432583,-1.15494079007899,-1.15494079007899,7.25744062945586,3.96048272345101,5.97432385595276,4.80211528984067,-1.15494079007899,1.01538698002083,3.63258745171759,3.75422780790208,4.39459480825657,2.22801010299804,4.07759848822501,1.79523759074967,5.51387652043926,4.88555765721659,4.53516153039809,5.67719023796,0.665422895917965
PYM601,4.23178409842106,-0.870636746621626,2.51106433260332,6.84953496339868,-0.870636746621626,6.19496687927342,3.98834966075122,3.33874847454661,0.876264109270865,3.00820085203868,2.72738675551649,6.50543338130359,-0.870636746621626,5.05684080527897,3.00820085203868,4.02444018282348,6.91660449631988,3.55891650370681,6.46611908597415,3.14526243297591
PYM607,5.11067501876225,2.32886066084314,-1.78499708413021,6.19222407928216,2.10979493375364,5.06391310564313,2.93650827948101,3.25496938643806,4.07309969591398,-1.78499708413021,5.68024965265743,4.34271321565534,4.40011510121715,2.32886066084314,-1.78499708413021,6.32001626693129,4.35575696473837,5.97636862628524,6.23764825069899,0.990435848213034
PYM612,5.82194856017349,-1.00395715643693,1.96411339146315,7.39168663194449,-1.00395715643693,5.80426836311002,4.60625290155697,-1.00395715643693,-1.00395715643693,3.50651702592835,3.02785649274447,4.92216996215855,-1.00395715643693,2.94245673664775,-1.00395715643693,3.10653348958477,5.5237241787827,3.48083079363803,5.53712770035514,2.26844909609216
PYM613,5.64545823534476,-1.07094250988143,-1.07094250988143,7.85355445691667,-1.07094250988143,6.1861319374384,3.30390070938377,2.35489280927204,-1.07094250988143,2.71937110394225,4.33515332238743,3.7605825486497,-1.07094250988143,4.02442329934883,-1.07094250988143,5.77144173669133,5.31012464936511,3.40115976169409,6.42277371153412,4.13413121944477
